Date/Time,Word Count,en,ja,zh-TW
2024.10.21-17.01.03,0,0,0,0
2024.10.21-17.20.15,134,0,0,134
2024.10.21-17.36.20,135,0,0,135
2024.10.21-17.41.12,138,0,0,138
2024.10.21-17.57.15,152,0,0,152
2024.10.21-18.11.05,206,0,0,206
2024.10.21-18.30.51,236,0,0,236
2024.10.21-18.50.19,272,0,0,272
2024.10.21-21.06.30,272,17,0,272
2024.10.21-21.14.48,272,268,0,272
2024.10.21-21.28.29,271,268,0,271
2024.10.21-21.31.07,275,268,0,275
2024.10.21-21.35.12,275,272,0,275
2024.10.21-21.42.17,273,268,0,273
2024.10.21-21.42.58,273,272,0,273
2024.10.21-21.47.49,268,268,0,268
2024.10.21-22.19.06,268,268,268,268
2024.10.22-00.11.16,276,268,268,276
2024.10.22-00.13.01,276,276,276,276
2024.10.23-01.13.37,276,270,270,276
2024.10.23-01.15.31,276,274,276,276
2024.10.23-01.16.07,276,276,276,276
